GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Prattle,edu.northeastern.ccs.im.server,PrattleDB,0,173,4,16,0,47,4,15,0,9
Prattle,edu.northeastern.ccs.im.server,ServerConstants,0,216,0,10,0,43,0,7,0,2
Prattle,edu.northeastern.ccs.im.server,Prattle,42,147,10,20,6,42,11,11,1,6
Prattle,edu.northeastern.ccs.im.server,ClientRunnable,425,189,74,14,98,56,46,18,6,14
Prattle,edu.northeastern.ccs.im,Message,17,229,6,20,2,41,6,26,1,18
Prattle,edu.northeastern.ccs.im,PrintNetNB,16,56,7,5,3,20,5,5,0,4
Prattle,edu.northeastern.ccs.im,ScanNetNB,31,251,11,21,6,64,8,15,0,7
Prattle,edu.northeastern.ccs.im,NextDoesNotExistException,0,4,0,0,0,2,0,1,0,1
Prattle,edu.northeastern.ccs.im,Message.MessageType,0,81,0,0,0,11,0,3,0,3
Prattle,edu.northeastern.ccs.im,SocketNB,6,51,3,3,0,14,3,4,0,4
